authors,citations
Toby Walsh,22
Toby Walsh,41
Michael Wooldridge,28
Ming-Hsuan Yang,39
Toby Walsh,50
David Poole,13
Joseph Y. Halpern,2
Vladimir Lifschitz,79
Toby Walsh,27
Jacques Stern,2
Madhu Sudan,17
Tuomas Sandholm,68
Mihir Bellare,118
Monica S. Lam,1
Ivan Damgård,50
Zoubin Ghahramani,98
Jim Gray,3
Rachid Guerraoui,0
Leslie Lamport,65
Barbara Liskov,24
Barbara Liskov,111
Robin Milner,58
Lawrence C. Paulson,26
Bart Preneel,7
Bart Preneel,41
Bart Preneel,75
Robbert van Renesse,54
Joseph Sifakis,132
Amin Vahdat,1
Niklaus Wirth,97
Ron Kimmel,13
Amnon Shashua,4
HongJiang Zhang,5
Zhengyou Zhang,45
Zhengyou Zhang,14
Zhengyou Zhang,3
Justin Zobel,32
Philipp Koehn;Kevin Knight,75
Kathleen McKeown,47
Daniel Marcu,74
Daniel Marcu,456
Daniel Marcu,72
Fernando C. N. Pereira,70
Fernando C. N. Pereira,12
Gerard Salton,38
Ben Shneiderman,27
Rajiv Gupta;Mary Lou Soffa,4
Mary Jane Irwin,7
Mary Shaw,1
John A. Stankovic,93
Terry Winograd,0
Alex Pentland,0
Leslie Lamport,2
Robin Milner,3
Robin Milner,1
Jeffrey D. Ullman,2
Jeff Kramer,1
Alan Burns,10
Hanan Samet,4
Jim Gray,4
Heikki Mannila,3
Heikki Mannila,3
Tomasz Imielinski,14
Raymond Reiter,1495
Raymond Reiter,185
Raymond Reiter,19
Justin Zobel,0
Krithi Ramamritham,2
Mani B. Srivastava,0
B. S. Manjunath,6
Tobias Nipkow,1
Tobias Nipkow,13
Fred Glover,470
Ben Shneiderman,17
Barbara Liskov,6
Simon S. Lam;Leonard Kleinrock,18
David Lowe,5
Matthias Felleisen,7
Philip Wadler,17
Philip Wadler,360
Amnon Shashua,75
William W. Cohen,88
Tuomas Sandholm,0
Daniel S. Weld,4
Serge Abiteboul;Victor Vianu,25
Dale Miller,7
V. S. Subrahmanian,3
Jie Wu;Karl Aberer,20
Peter Brusilovsky,8
John Riedl,8
Charles Elkan,1
Amnon Shashua,45
Manfred K. Warmuth,38
William W. Cohen,2
Steven Salzberg,11
Marco Dorigo,23
Giuseppe De Giacomo;Maurizio Lenzerini,107
Frank van Harmelen,10
Russell H. Taylor,20
Enrico Motta,1
Michel Raynal,7
Erol Gelenbe,18
Rina Dechter,17
Daniel S. Weld,18
Raouf Boutaba,13
Yorick Wilks,8
Riccardo Poli,83
Riccardo Poli,9
Roger Wattenhofer,0
Dale Miller,1
Andrew Y. Ng,6
Shun-ichi Amari,32
Pedro Domingos,2
Thomas Eiter,10
David Haussler,14
Robert E. Schapire,141
Ben Shneiderman,114
Padhraic Smyth,0
Avrim Blum,1
Heikki Mannila,2
Boi Faltings,4
Daniela Rus,2
Neil D. Jones,7
Dale Miller,10
Rajeev Alur,42
Boi Faltings,40
Takeo Kanade,6
Marco Dorigo,4
Takeo Kanade,0
Philipp Koehn,529
Eleazar Eskin,31
Mostafa H. Ammar,10
Rajkumar Buyya,19
Dan Boneh,610
John A. Stankovic,1
Franco Zambonelli,24
Ronald Fagin,0
Thomas A. Henzinger,0
Gul Agha,14
Edmund M. Clarke,14
Thomas A. Henzinger,2
Marco Ajmone Marsan,203
Robin Milner,3
Joseph Sifakis,1
Gustavo Alonso,2
Aravind Srinivasan,20
Kwan-Liu Ma,8
Thomas Ertl,1
Kwan-Liu Ma,17
Karl Aberer;Jie Wu,26
Wei-Ying Ma,2
Umeshwar Dayal,32
Krithi Ramamritham,1
Moshe Y. Vardi,51
Jan Camenisch,58
Jan Camenisch;Ivan Damgård,147
Eli Biham,54
Markus Jakobsson;Ari Juels,212
Markus Jakobsson;Ari Juels,5
Ronald L. Rivest,21
Ronald L. Rivest,2
Adi Shamir,16
Ran Canetti,19
Jacques Stern,5
Jacques Stern,8
David Wagner,6
Nicholas Ayache,11
Prabhakar Raghavan,1
Vladimir Lifschitz,0
Jan M. Rabaey,40
Jan M. Rabaey,9
Massoud Pedram,53
Jan M. Rabaey,8
Deborah Estrin,8
Rajiv Gupta,146
Brad Calder;Dirk Grunwald,116
Niklaus Wirth,16
Alex Pentland,5
Thomas S. Huang,0
Daphne Koller,2
Michael L. Littman;Peter Stone,59
Michael Wooldridge,24
Michael Wooldridge,21
Michael Wooldridge,35
Demetri Terzopoulos,3
Toby Walsh,23
Rajeev Alur,0
Thomas Ball,2
Saul Greenberg,13
Didier Dubois,0
Toby Walsh,2
Kurt Mehlhorn,74
Steven Feiner,7
Stuart K. Card,3
Alberto O. Mendelzon,19
Daniel Thalmann,15
Prabhakar Raghavan,3
C. Lee Giles,6
Amotz Bar-Noy;Danny Dolev,20
Mihalis Yannakakis,11
E. Allen Emerson,131
Moshe Y. Vardi,497
Burkhard Rost,8
John M. Carroll,1
Serge Abiteboul,0
Serge Abiteboul,3
Boualem Benatallah,5
Michael Stonebraker,0
Gerhard Weikum,0
Simon S. Lam,9
Hector Garcia-Molina,38
Hector Garcia-Molina,9
Michael Stonebraker,1
Michael Stonebraker,2
Michael Stonebraker,404
Limsoon Wong,28
Karl Aberer;Jie Wu,7
Serge Abiteboul;Victor Vianu,26
Rajeev Alur,7
Diego Calvanese;Giuseppe De Giacomo;Maurizio Lenzerini,98
Oded Goldreich,52
Oded Goldreich,16
Oded Goldreich,4
Neil D. Jones,56
Donald E. Knuth,6
Jeffrey F. Naughton;Raghu Ramakrishnan,38
Robin Milner,2
Robin Milner,1
Christos H. Papadimitriou,1
Amir Pnueli,7
Jeffrey D. Ullman,9
Moshe Y. Vardi,8
Niklaus Wirth,42
Carlo Zaniolo,11
Lawrence C. Paulson,42
Moshe Y. Vardi,5
Richard Szeliski,31
Hector Garcia-Molina,1
Carlo Zaniolo,22
Philip A. Bernstein,104
Jim Gray,17
Frank Leymann,144
Frank Leymann,176
Gerhard Weikum,43
Christian S. Jensen,6
Jim Gray,3
Dieter Fensel,1
Douglas C. Schmidt,5
Douglas C. Schmidt,248
