domain,index,runtime,coalitions,agents
drinks,SI,1.51200795174,3357,413
food,SI,50.7484829426,21356,300
perfumes,SI,16.2723481655,10611,365
movies_score,SI,0.373543024063,371,3965
movies_gross,SI,0.168968915939,322,3497
papers,SI,14.0303561687,1112,645
bball,SI,8.45132613182,9037,300
random,SI,11.5315220356,9991,500
random,SI,1975.31968093,49989,3000
