key	value
arron_shiver	303
art_chudabala	304
art_evans	305
art_frankel	306
art_garfunkel	307
arthur-j-nascarella	308
arthur_anderson	309
arthur_french	310
arthur_houseman	311
arye_gross	312
ashley_giancola	313
ashley_judd	314
ashley_scott	315
ashley_wallen	316
ashton_kutcher	317
asia_argento	318
aubrey_lee_culp	319
aunjanue_ellis	320
austin_pendleton	321
autumn_reeser	322
ava_lazar	323
azura_skye	324
balthazar_getty	325
barak-heymann	326
barbara_hershey	327
barbara_kent	328
barbara_williams	329
barnard_hughes	330
barry_del_sherman	331
barry_flatman	332
barry_levinson	333
barry_pepper	334
barry_sonnenfeld	335
bd_wong	336
beatrix_thompson	337
beau_starr	338
becki_newton	339
bellina_logan	340
ben-frommer	341
ben_affleck	342
ben_chaplin	343
ben_foster	344
ben_gant	345
ben_garner	346
ben_gazzara	347
ben_kingsley	348
ben_stein	349
ben_stiller	350
ben_webster	351
benicio_del_toro	352
benjamin_bratt	353
benjamin_walker	354
benji_thall	355
bernard_fox	356
bernard_hill	357
bernie_kuby	358
bernie_littlewolf	359
bernie_mac	360
bert_parks	361
beth_grant	362
beth_sheather	363
betsy_brantley	364
bette_midler	365
beverly_todd	366
bilal_bishop	367
bill-buell	368
bill-irwin	369
bill_chott	370
bill_cobbs	371
bill_condon	372
bill_duke	373
bill_farmer	374
bill_lewin	375
bill_nighy	376
bill_obrien	377
bill_paxton	378
bill_pullman	379
bill_raymond	380
bill_sadler	381
bill_smitrovich	382
bill_stewart	383
billie_whitelaw	384
billy-hopkins	385
billy_bob_thornton	386
billy_burke	387
billy_connolly	388
billy_crudup	389
billy_crystal	390
billy_drago	391
billy_gallo	392
billy_idol	393
billy_lloyd	394
billy_lucas	395
billy_zane	396
bindu_de_stoppani	397
bj_barie	398
blackie_whiteford	399
blair_underwood	400
blake_clark	401
blake_clayfield	402
blake_woodruff	403
blue-deckert	404
blythe_danner	405
bob_balaban	406
bob_dolman	407
bob_newhart	408
bob_rafelson	409
bob_swan	410
bob_uecker	411
bobby_cannavale	412
bobby_harwell	413
bobby_steggert	414
bobby_watson	415
bombardier_billy_wells	416
bonjovi	417
bonnie_bedelia	418
bonnie_hunt	419
bonnie_mckee	420
bonnie_somerville	421
boots_southerland	422
boyd_banks	423
brad_anderson	424
brad_dourif	425
brad_henke	426
brad_pitt	427
brad_sullivan	428
bradley_cooper	429
brandon_irons	430
brandon_molale	431
brandon_olive	432
branko_smiljanic	433
breckin_meyer	434
brenda_blethyn	435
brenda_vaccaro	436
brendan_burns	437
