synergy	colval
-37.9625	8.0
-34.4625	21.0
-34.3	16.0
-34.3125	4.0
-47.175	4.0
-52.8625	1.0
-33.9125	2.0
-54.5125	3.0
-52.3375	4.0
-54.4	9.0
-47.0125	4.0
-48.3875	1.0
-36.175	3.0
-28.2625	6.0
-44.825	1.0
-59.2	1.0
-39.9	1.0
-45.5	3.0
-32.2125	2.0
-22.9375	1.0
-45.2125	6.0
-33.9125	6.0
-53.875	4.0
-47.775	8.0
-53.1625	2.0
-41.825	11.0
-51.7125	8.0
-35.825	1.0
-44.9125	3.0
-50.325	1.0
-39.6875	6.0
-38.625	2.0
-35.0375	2.0
-37.6	5.0
-4.35	17.0
-30.575	4.0
-33.65	2.0
-39.6	1.0
-39.4375	2.0
-38.3375	1.0
-46.425	1.0
-19.2875	4.0
-43.5375	1.0
-51.3875	6.0
-22.9	2.0
-25.075	1.0
-17.7125	3.0
-25.15	5.0
-44.3625	4.0
-37.6125	1.0
-62.8625	1.0
-35.325	3.0
-56.075	1.0
-45.4375	4.0
-30.7375	2.0
-50.3375	1.0
-34.95	2.0
-40.6	2.0
-41.275	1.0
-40.6375	1.0
-51.05	2.0
-61.325	1.0
-30.4625	25.0
-31.0125	12.0
-35.7	1.0
-42.5375	1.0
-47.2875	1.0
-50.7875	11.0
-45.325	3.0
-50.225	8.0
-77.3375	4.0
-41.2375	5.0
-26.2	2.0
-35.95	2.0
-48.4875	14.0
-25.8	2.0
-55.225	2.0
-66.1625	1.0
-35.65	1.0
-46.6	6.0
-30.4625	1.0
-29.4	1.0
-39.2625	6.0
-47.4125	1.0
-48.7	2.0
-37.3875	2.0
-24.975	4.0
-45.925	5.0
-61.7	2.0
-39.4875	5.0
-19.75	2.0
-31.3125	2.0
-38.175	6.0
-37.2625	9.0
-56.075	1.0
-36.5125	12.0
-45.525	1.0
-21.7875	1.0
-25.575	1.0
-49.6125	5.0
-33.925	2.0
-37.575	3.0
-76.525	1.0
-34.8625	3.0
-32.7625	1.0
-14.2375	1.0
-30.85	9.0
-40.275	2.0
-30.0125	1.0
-80.5125	2.0
-32.5	7.0
-38.1125	1.0
-13.1875	1.0
-14.4375	10.0
-41.2625	1.0
-29.8	2.0
-49.5625	3.0
-53.95	4.0
-23.5625	4.0
-73.125	1.0
-38.0875	9.0
-41.125	1.0
-54.3875	9.0
-40.8	1.0
-48.4125	3.0
6.85	38.0
-32.3875	1.0
-56.1375	4.0
-44.3	1.0
-44.85	2.0
-45.65	7.0
-42.275	5.0
-36.8	1.0
-40.825	1.0
-20.6	8.0
-39.5375	2.0
-20.125	1.0
-65.6875	2.0
-42.25	5.0
-45.55	3.0
-48.5	1.0
-60.75	4.0
-47.55	2.0
-46.5375	10.0
-60.0875	25.0
-38.05	4.0
-36.4125	4.0
-31.575	2.0
-47.1	1.0
-32.7125	6.0
-42.1875	2.0
-25.8875	2.0
-75.6125	1.0
-39.9625	3.0
-24.7625	5.0
-27.4	6.0
-11.9875	4.0
-46.5625	2.0
-36.6875	1.0
-34.55	2.0
-42.0375	1.0
-30.85	4.0
-34.9125	2.0
-48.45	1.0
-36.125	1.0
-56.5125	1.0
-65.9	1.0
-37.8125	7.0
-34.7375	1.0
-32.725	23.0
-44.9125	2.0
-48.6125	1.0
-33.975	14.0
-30.5875	5.0
-57.2375	2.0
-38.0875	6.0
-39.425	23.0
-45.6875	2.0
-39.5125	3.0
-50.975	1.0
-36.1875	1.0
-58.4	1.0
-19.75	4.0
-31.5625	1.0
-31.5375	5.0
-26.0125	1.0
-40.45	1.0
-35.7875	20.0
-36.8125	6.0
-55.1	1.0
-48.0875	5.0
-40.625	2.0
-49.2375	1.0
-37.0625	3.0
-60.4875	3.0
-60.0375	4.0
-28.475	4.0
-47.8875	4.0
-50.4375	1.0
-48.325	2.0
-41.7	3.0
-48.525	1.0
-53.9125	1.0
-15.575	1.0
-30.1375	7.0
-33.9625	5.0
-37.9875	2.0
-24.05	4.0
-27.5625	2.0
-45.825	3.0
-79.5625	1.0
-32.9625	33.0
-20.3	24.0
-32.925	2.0
-47.825	1.0
-54.4625	5.0
-40.925	9.0
-66.525	3.0
-71.375	1.0
-36.725	1.0
-12.4	1.0
-38.0875	1.0
-29.5375	5.0
-42.55	1.0
-31.4375	1.0
-78.95	1.0
-65.125	10.0
-47.9875	1.0
-32.775	1.0
-31.1625	1.0
-56.625	12.0
-6.6	20.0
-25.5875	3.0
-36.825	5.0
-40.8375	1.0
-52.4	3.0
-29.6	20.0
-31.0625	1.0
-48.9625	3.0
-54.3375	4.0
-46.0125	3.0
-24.375	3.0
-30.5875	1.0
-36.475	1.0
-60.9625	1.0
-61.775	1.0
-30.7875	1.0
-31.3625	5.0
-37.075	1.0
