synergy	colval
236.330847267	-10.0
953.396955334	-101.0
1070.38535701	-14.5
1146.49890742	2.0
1060.50141652	-72.5
990.356951685	-66.0
1157.26222766	-7.0
145.380643965	-30.0
1065.4001739	-17.0
994.538900542	-42.5
874.274498147	-16.0
1067.66173642	-10.0
967.17927396	-27.0
1083.909535	-40.0
1005.74685199	-44.5
1061.69749486	-60.5
1131.56569454	-30.0
1046.07682538	-119.5
979.975508346	0.0
947.171549956	-49.0
1083.7622332	-76.0
1018.19859355	24.0
1056.61292136	-17.0
29.7261966766	0.0
1172.35003655	0.0
963.327491725	-40.0
1098.61516975	-70.0
927.002780694	0.0
926.44721781	-52.5
1193.08867799	-95.0
954.350997516	-73.5
1079.40237805	-20.0
1035.89619418	-57.0
1006.27038776	-61.0
979.535766718	-1.0
891.201148114	-50.0
1013.83783004	-31.5
1089.5723609	-49.0
1138.65633597	-99.0
1014.74252393	-60.0
854.201516474	-30.0
926.872755554	-35.5
50.391737787	-18.0
1229.30157294	-139.0
965.118654934	-41.5
1276.07487045	-65.0
1041.75444851	-14.0
1045.31366051	-36.5
1223.53842067	-87.0
1025.10179239	-5.0
1245.29987975	-38.0
1255.92344436	-87.0
1023.4426951	-140.5
945.288540355	-28.0
1119.63780871	-44.5
1117.60263057	-49.5
851.655709254	-20.0
896.749254641	-73.5
1158.21706218	-40.0
1292.53035104	-120.0
1339.49093371	-123.0
996.338665024	-104.5
31.9750556193	-16.0
971.423405284	-37.0
1068.66963224	-71.5
1224.52428029	-17.0
1.47513640873	0.0
877.616331661	-15.0
1087.0662428	-87.0
1047.52640609	-83.5
1161.45988006	0.0
1072.24111672	-59.0
168.219769033	-39.0
1030.3776192	-32.5
1274.84342129	-49.0
1038.9337002	50.0
1195.53969608	-50.0
128.63050812	10.0
999.261217558	-27.0
1047.17514929	-24.5
934.274329046	-24.5
1203.6317575	-40.0
954.984220749	-34.0
230.485186504	0.0
1044.84043881	-60.0
117.616266373	0.0
995.357558099	65.0
978.166694384	50.0
972.989821778	-40.0
875.325920011	-40.0
961.77131885	0.0
877.826531596	0.0
1058.78334893	-36.0
991.056354095	-26.0
1248.46483549	-88.0
1018.1938789	-50.0
219.973022637	-10.0
960.849382226	0.0
1257.17029287	-227.166666667
1088.12143966	-17.0
396.857879956	0.0
1004.6141031	-10.0
51.3227676729	0.0
1070.32496694	-36.0
1164.81012789	-100.5
1199.29348649	-371.333333333
1060.58041163	-30.0
1111.66457179	-30.0
1056.1257325	-37.0
1064.21208336	-29.0
1148.17629344	-31.5
111.202783978	-37.0
1301.56626412	-6.0
898.112066449	-46.0
98.1136468891	40.0
855.189327805	-21.5
1214.42285703	-243.5
1207.59327069	30.0
1081.91997863	0.0
946.552134823	-38.0
1065.03239266	-34.0
1083.84129784	-24.5
960.932550772	-31.5
867.921266613	0.0
86.8392516121	-10.0
987.591998214	-20.0
1118.00649154	-50.0
1182.7896491	-35.0
4.41223197376	-27.0
1044.93711418	0.0
1002.93606442	-22.5
1041.22724737	-65.0
1054.23665037	-168.5
83.7264061785	-46.0
1096.17803688	2.5
992.143055285	-61.0
837.026099822	-49.0
95.6939949157	-47.0
1007.39976289	-30.0
1076.30883971	-134.0
945.639461591	-20.0
1378.28106606	-59.0
992.588291591	0.0
1023.29334473	0.0
1287.01351762	-47.0
939.59959924	-80.0
859.413428184	0.0
1005.4013484	3.0
1059.0245532	-12.0
972.956514557	-16.0
1221.82749313	-28.0
335.868758368	17.3333333333
