synergy	colval
-68.6725028603	13.6254861111
-99.2602651557	21.5709348291
-87.0647968471	23.6884861111
-75.5555612774	15.2012126068
-80.2013110479	17.9479861111
-24.2867941524	3.00166666667
-73.357552779	15.3127083333
-10.4543811978	3.55
-95.0861561653	15.4273931624
-85.9612623185	24.6822126068
-23.3409973947	4.64666666667
-29.0087657677	6.52
-53.3903023483	15.6361111111
-61.5441342597	10.429375
-88.7590461462	21.1471527778
-32.5185320734	7.67
-35.1377361735	5.339375
-44.1952814452	7.65416666667
-65.7208307158	7.51399038462
-58.5991477052	7.69061111111
-33.9317296179	5.43461538462
-18.150925206	2.58111111111
-95.9040653497	20.8839903846
-47.469922298	12.5316666667
-44.1235885916	7.27833333333
-60.7192281092	9.31572649573
-96.0268961562	17.4282638889
-81.7254844572	17.6612083333
-108.885962826	54.1295459402
-70.4032137029	21.0885042735
-56.124195029	6.15659722222
-76.0320709285	10.401875
-108.035393491	29.9123237179
-75.2186776963	11.189375
-72.6519390729	13.627875
-124.496457883	47.3532126068
-82.770083234	17.5785042735
-72.6891118804	16.4877083333
-61.7700277268	12.7122222222
-94.3446409768	18.5379487179
-75.5397177162	12.0091666667
-68.2816229586	6.63048611111
-85.0675679402	27.8693376068
-91.1345668531	27.8697820513
-109.856019596	55.6998931624
-107.445329016	23.5895459402
-59.2212874576	8.19027777778
-17.5278081111	5.57
-84.7374347224	11.4285042735
-61.9302297881	11.2939903846
-6.61453703333	2.54
-7.55221470639	5.095
-83.5252784238	15.4477083333
-79.9832595566	9.801875
-33.6455752223	4.344375
-83.5142293693	159.041657051
-75.5966630459	13.2229487179
-112.873922443	37.6145459402
-17.0609852751	4.93333333333
-117.718766824	65.9355459402
-29.8025462624	8.11111111111
-47.8391156233	6.54722222222
-23.9058182204	4.665
-76.1761391555	14.0477083333
-48.7056868175	11.08
-40.0688024194	5.530375
-49.5990835149	6.42961538462
-56.8762647568	10.5921153846
-49.3423187846	5.124375
-68.2350670828	13.3902777778
-13.361621112	6.83
-87.0038126216	14.0412126068
-29.2172895742	10.9591666667
-38.5637042359	8.82770833333
-87.6369024009	19.3012126068
-118.935981798	60.2655459402
-18.3709781152	10.12
-28.7914558501	7.15
-89.5199083506	17.2447083333
-51.0177827043	8.424375
-22.3690548024	6.195
-104.736083925	58.1316570513
-98.9885430312	17.9535972222
-29.1932887207	8.05
-63.909947428	17.6915972222
-96.3335024305	24.0962126068
-116.233587921	31.3613194444
-60.8467956323	14.1247777778
-98.5328445135	25.6245459402
-62.8221159653	9.49666666667
-103.628390647	27.4183237179
-74.5609215197	12.3156570513
-19.828812936	5.205
-65.2778685597	7.12544871795
-63.1862092448	15.064375
