size
25
8
10
15
4
18
10
13
13
30
11
2
26
49
6
15
26
13
19
13
43
2
23
29
35
8
6
20
24
56
21
13
17
8
41
3
4
12
8
41
17
7
25
21
9
13
15
14
12
7
10
76
15
41
21
43
43
10
14
8
15
12
12
13
12
13
53
9
18
12
10
15
10
13
35
9
11
12
17
13
21
16
18
9
20
22
22
12
16
9
10
139
35
14
8
12
11
15
8
21
9
20
22
15
10
15
4
11
13
8
17
14
4
6
10
10
10
9
21
17
14
18
10
12
9
17
8
13
41
13
25
15
12
8
8
9
48
6
76
17
10
11
30
8
9
22
14
13
13
11
13
36
6
15
8
7
8
16
15
2
55
18
12
11
22
11
3
12
9
14
7
18
18
18
17
10
4
13
9
11
10
16
39
17
12
15
2
13
6
15
41
6
8
13
12
11
13
18
12
14
52
25
19
16
12
10
8
17
59
8
15
49
36
14
49
22
14
6
10
14
11
12
17
13
20
11
18
16
9
13
41
13
36
15
9
35
5
139
13
13
14
53
27
16
12
2
12
10
12
14
18
9
18
2
6
18
13
12
13
15
15
59
17
13
9
25
14
14
49
13
10
12
40
14
5
52
10
18
18
41
14
13
15
8
30
19
10
27
40
13
10
27
4
9
2
25
4
9
9
12
12
18
13
1
4
53
16
18
41
41
19
11
13
13
11
29
2
11
12
12
8
11
3
16
10
7
14
48
8
16
24
13
55
38
11
13
14
12
2
1
16
6
20
31
26
9
19
11
13
16
14
3
15
13
13
35
20
17
38
12
2
16
35
13
31
9
23
22
12
13
19
19
24
18
12
18
22
10
13
4
5
8
17
2
23
7
16
17
8
17
49
20
29
7
12
24
17
3
56
14
5
41
15
10
10
13
4
4
1
17
26
8
26
15
15
76
13
15
38
139
15
59
30
41
15
9
20
12
49
8
10
11
6
8
3
139
10
139
24
20
11
15
14
10
35
10
8
20
17
20
15
10
52
14
31
13
48
16
12
12
14
2
55
39
17
16
13
9
11
14
9
12
3
10
19
1
1
9
41
13
40
18
4
39
18
56
9
11
16
11
13
24
10
9
13
9
12
56
7
14
13
17
49
6
24
18
10
20
17
14
