ingredients,rating
"ice-cubes,gin,orange-juice,benedictine-dom,grenadine,orange",34
"ice-cubes,absolut-vodka,espresso-coffee-cold,dark-cacao-liqueur,raspberry-liqueur",50
"ice-cubes,sherry,vermouth-sweet,orange-bitters",39
"absinthe,cream-liqueur,pisang-ambon",11
"ice-cubes,gin,benedictine-dom,cherry-brandy,bitters,lemon-juice,orange-bitters,soda-water",46
"ice-cubes,absolut-vodka,cream,dark-cacao-liqueur,triple-sec,orange",40
"ice-cubes,absolut-vodka,lime-juice,raspberry-puree,raspberry",1
"ice-cubes,gin,dry-vermouth,maraschino-liqueur,orange-bitters,simple-syrup",50
"ice-cubes,scotch-whisky,vermouth-sweet,bitters",21
"absolut-100,lemon-juice,runny-honey,tea-hot",44
"ice-cubes,absolut-vodka,green-mint-liqueur,white-cacao-liqueur",33
"ice-cubes,gin,lemon-juice,melon-liqueur,ginger-ale",20
"ice-cubes,gin,creme-de-menthe-white,pastis,grenadine",20
"absolut-100,champagne",50
"ice-cubes,gin,dry-vermouth,whisky-honey-liqueur-drambuie,banana-liqueur",20
"ice-cubes,absolut-vodka,cognac,lemon-juice,simple-syrup",20
"ice-cubes,absolut-vodka,black-raspberry-liqueur,lime-cordial,grenadine,soda-water",42
"ice-cubes,absolut-vodka,galliano,lime-juice,triple-sec,egg-white,pineapple",30
"ice-cubes,cognac,gin,triple-sec",10
"ice-cubes,gin,cream,triple-sec,simple-syrup",37
"ice-cubes,absolut-citron,pomegranate-juice,black-raspberry-liqueur,orange",40
"ice-cubes,gin,kummel,lemon-juice",30
"ice-cubes,gin,orange-flavored-brandy,orange-juice",30
"ice-cubes,cognac,dry-vermouth,port-white,anisette,bitters",34
"ice-cubes,scotch-whisky,vermouth-sweet,benedictine-dom,bitters,lemon",38
"ice-cubes,absolut-orient-apple,ginger-ale,lemon,mint-leaf",51
"ice-cubes,absolut-vodka,orange-flavored-brandy,orange-juice,triple-sec,orange",34
"ice-cubes,scotch-whisky,vermouth-sweet,whisky-honey-liqueur-drambuie,orange-curacao,orange",44
"ice-cubes,dry-vermouth,gin,vermouth-sweet,strawberry",44
"ice-cubes,absolut-vodka,orange-flavored-brandy,cherry-liqueur,lime-cordial,egg-white",10
"ice-cubes,scotch-whisky,lemon-juice,egg-white,pastis",11
"ice-cubes,dry-vermouth,rye-whiskey,pastis,bitters,simple-syrup",20
"ice-cubes,cognac,cream,maraschino-liqueur,egg-yolk",54
"ice-cubes,gin,creme-de-menthe-white,lemon-juice,champagne",49
"ice-cubes,absolut-vodka,peach-syrup,orange-juice,cranberry-juice,orange",40
"ice-cubes,gin,absinthe,simple-syrup",11
"ice-cubes,light-rum,calvados,vermouth-sweet,lemon",22
"ice-cubes,dry-vermouth,cognac,pastis,bitters",11
"ice-cubes,gin,lemon-juice,simple-syrup,egg-white",48
"ice-cubes,apricot-brandy,gin",20
"vanilla-ice-cream,cream,strawberry,basil",50
"ice-cubes,cognac,orange-flavored-brandy,lime-cordial,egg-white",30
"ice-cubes,gin,lemon-juice,simple-syrup,cream,soda-water,strawberry",33
"ice-cubes,gin,cherry-brandy,lemon-juice,triple-sec",44
"ice-cubes,raspberry-rum,lemon-lime-soda,raisin,raspberry",36
"ice-cubes,absolut-vodka,light-rum,black-currant-liqueur,lime-juice,simple-syrup",34
"ice-cubes,lime-juice,ginger-ale,apple-juice,lime",50
"crushed-ice,absolut-vodka,grapefruit-juice,black-currant-liqueur",47
"ice-cubes,dry-vermouth,gin,orange-flavored-brandy,pastis,maraschino-berry",23
"ice-cubes,light-rum,port-white,coffee",30
"ice-cubes,gin,lemon-juice,mint-leaf",10
"ice-cubes,vanilla-rum,pineapple-juice,lime-juice,vanilla-syrup",50
"ice-cubes,absolut-vodka,peach-schnapps",2
"ice-cubes,absolut-vanilia,lemon-juice,limoncello,butterscotch-schnapps,vanilla-syrup",47
"ice-cubes,absolut-vodka,orange-juice",11
"ice-cubes,cognac,vermouth-sweet,lemon-juice,simple-syrup",20
"ice-cubes,cranberry-juice,grapefruit-juice,orange-juice,pineapple-juice,lemon-lime-soda,lime",40
"ice-cubes,absolut-citron,apple-juice-fresh-pressed,cranberry-juice,triple-sec,lime-juice,ginger-ale,lime",50
"ice-cubes,light-rum,strawberry-liqueur,cherry-brandy,orange-juice,lemon-juice,strawberry",22
"ice-cubes,absolut-vodka,apricot-brandy,orange-juice,grenadine,passionfruit-syrup,apple,kiwi,maraschino-berry,mint-leaf",33
"crushed-ice,dry-vermouth,pastis,lime-juice,anisette,yellow-chartreuse",39
"ice-cubes,orange-juice,bourbon-peach-flavored,lemon-juice,amaretto,peach",22
"ice-cubes,gin,dry-vermouth,triple-sec",10
"ice-cubes,cognac,coffee,cream,mandarines-liqueur,simple-syrup,mandarin,orange",47
"ice-cubes,absolut-vodka,grapefruit-juice,mango-puree,mango",44
"ice-cubes,cognac,peach-brandy,dubonnet,pastis",43
"ice-cubes,canadian-whisky,lemon-juice,pineapple-juice,raspberry-juice,lemon,maraschino-berry,pineapple",13
"ice-cubes,apricot-brandy,pastis,yellow-chartreuse",22
"ice-cubes,dark-rum-of-jamaican-type,light-rum,pineapple-juice,amaretto",44
"ice-cubes,cranberry-juice,apple-juice,lime-juice,cream-of-coconut,grenadine",20
"ice-cubes,cognac,dry-vermouth,maraschino-liqueur,orange-curacao,orange-bitters,pastis,lemon,maraschino-berry",53
"ice-cubes,gin,calvados,lemon-juice,grape-juice,lemon",23
"ice-cubes,slivovitz,lemon-juice,orange-juice,maraschino-liqueur,simple-syrup",33
"ice-cubes,gin,green-chartreuse,sherry,bitters,orange-bitters,orange",29
"ice-cubes,gin,dry-vermouth,maraschino-liqueur,bitters,lemon",10
"ice-cubes,absolut-vodka,soda-water,lemonade,lemon",30
"ice-cubes,absolut-vodka,gin,blue-curacao,lemon",8
"ice-cubes,absolut-vodka,dry-vermouth,lemon-juice",10
"ice-cubes,gin,cream,lemon-juice,soda-water",10
"ice-cubes,scotch-whisky,lemon-juice,pastis,egg-white,simple-syrup,soda-water",32
"ice-cubes,gin,dry-vermouth,dubonnet,bitters",22
"ice-cubes,scotch-whisky,dry-vermouth,orange-bitters,triple-sec",20
"ice-cubes,scotch-whisky,grapefruit-juice,grenadine,simple-syrup",33
"ice-cubes,gin,yellow-chartreuse,orange",29
"ice-cubes,gin,dry-vermouth,cream,cherry-liqueur",10
"ice-cubes,light-rum,banana-liqueur,orange-juice,cream",30
"ice-cubes,gin,cognac,soda-water,vermouth-sweet",20
"ice-cubes,scotch-whisky,gin,lemon-juice,egg-white,creme-de-menthe-white",32
"ice-cubes,dry-vermouth,rye-whiskey,swedish-punsch,bitters,lemon-juice",22
"ice-cubes,cognac,orange-curacao,egg-white",45
"ice-cubes,scotch-whisky,lemon-juice,pastis,simple-syrup,soda-water",32
"ice-cubes,gin,bitters,green-chartreuse",20
"ice-cubes,absolut-vodka,strawberry-liqueur,white-chocolate-liqueur,chocolate,strawberry",43
"ice-cubes,dry-vermouth,gin,scotch-whisky,lemon",22
"ice-cubes,gin,cream,egg-white,lemon-juice,soda-water",12
"ice-cubes,gin,dry-vermouth,dubonnet,bitters",12
"ice-cubes,gin,green-chartreuse,violet-liqueur",20
"ice-cubes,gin,lemon-juice,simple-syrup,raspberry,soda-water",15
"crushed-ice,cognac,port-red,lemon-juice,simple-syrup,maraschino-berry,orange",50
"ice-cubes,dry-vermouth,gin,grenadine,pastis,maraschino-berry",18
"ice-cubes,vermouth-sweet,campari,soda-water",23
"pisco,beer",6
"ice-cubes,gin,banana-liqueur,galliano,grapefruit-juice",22
"ice-cubes,cognac,gin,grenadine,pastis",12
"ice-cubes,gin,orange-curacao,pineapple-juice",30
"ice-cubes,absolut-vodka,chai-green-tea-syrup,orange-soda",34
"ice-cubes,light-rum,lemon-juice,grenadine,orange-curacao",43
"ice-cubes,gin,orange-flavored-brandy,grapefruit-juice",40
"scotch-whisky,vermouth-sweet,orange-bitters,pastis",33
"ice-cubes,light-rum,gin,lemon-juice,pineapple-juice,grenadine",13
"ice-cubes,absolut-vanilia,lime-juice,apple-juice,lychee-liqueur,lemon-juice,brown-sugar,lemon",55
"ice-cubes,scotch-whisky,cream,egg-yolk,milk",44
"ice-cubes,orgeat-almond-syrup,egg-white,apple-juice-fresh-pressed",50
"ice-cubes,rye-whiskey,vermouth-sweet,bitters,lemon",43
"ice-cubes,light-rum,sherry,egg-yolk,simple-syrup",42
"ice-cubes,gin,apricot-brandy,cognac,grenadine,lemon-juice",30
"ice-cubes,cognac,dubonnet,grenadine",22
"ice-cubes,cognac,cream,dark-cacao-liqueur,nutmeg",52
"crushed-ice,apricot-brandy,brandy,simple-syrup,mint-leaf",50
"ice-cubes,absolut-vanilia,blue-curacao,grenadine",23
"ice-cubes,light-rum,gin,ginger-ale,lime-juice,bitters",50
"ice-cubes,scotch-whisky,port-red,benedictine-dom,grape-juice,lemon,maraschino-berry",20
"ice-cubes,aged-rum-of-cuban-type,cranberry-juice,peach-liqueur",20
"ice-cubes,blackberry-liqueur,creme-de-menthe-white",32
"ice-cubes,gin,melon-liqueur,blue-curacao,ginger-ale,kiwi,lime",20
"ice-cubes,cognac,dark-rum-of-jamaican-type,lemon-juice,grenadine",45
"ice-cubes,absolut-peppar,orange-juice,hot-sauce",22
"ice-cubes,gin,triple-sec,white-cacao-liqueur",30
"ice-cubes,scotch-whisky,lemon-juice,grenadine",30
"ice-cubes,absolut-vodka,campari,galliano,pineapple-juice,maraschino-berry",40
"ice-cubes,gin,dark-rum-aged,lemon-juice,pineapple-juice",33
"ice-cubes,cognac,vermouth-sweet,orange-curacao,bitters,maraschino-berry",43
"absolut-vodka,port-white,green-olive",43
"ice-cubes,aged-rum-of-haitian-type,soda-water,white-cacao-liqueur",33
"ice-cubes,gin,cognac,lemon-juice,orange-juice",30
"ice-cubes,dark-rum-aged,apricot-brandy,pineapple-juice,galliano",32
"ice-cubes,brandy,dubonnet,lemon-juice,triple-sec",40
"ice-cubes,pastis,egg-white",12
"dubonnet,bitters,champagne,lemon",45
"ice-cubes,gin,dry-vermouth,cherry-brandy,lemon-juice,orange-bitters,orange",30
"ice-cubes,absolut-citron,white-cranberry-juice,triple-sec,lime",50
"ice-cubes,gin,apricot-brandy,lemon-juice,simple-syrup,grenadine",33
"ice-cubes,absolut-peppar,simple-syrup,melons",50
"ice-cubes,gin,apricot-brandy,lime-juice,grenadine,champagne,orange",32
"ice-cubes,absolut-vodka,banana-liqueur,orange-juice",22
"ice-cubes,aged-rum-of-cuban-type,brandy,gin,orange-juice,pineapple-juice,lemon-juice,triple-sec",50
"ice-cubes,cranberry-juice,lime-cordial,peach-liqueur",50
"ice-cubes,orange-flavored-brandy,dry-vermouth,gin,vermouth-sweet,bitters",33
"ice-cubes,dubonnet",4
"ice-cubes,rye-whiskey,dry-vermouth,lemon-juice,vermouth-sweet,egg-white",16
"ice-cubes,orange-flavored-brandy,blueberry-liqueur,coconut-syrup,cream-liqueur,maraschino-berry,mint-leaf",44
